Gene,start,end,length
G_ydfK_1~~~ydfK,294259,295669,705
N_yqaA,295669,299159,1745
G_yqaA,299159,300011,426
N_pyrC~~~pyrC_1~~~pyrC_2,300011,300225,107
G_pyrC~~~pyrC_1~~~pyrC_2,300225,302313,1044
N_group_34817,302313,305053,1370
G_group_34817,305053,305629,288
N_trpR,305629,305871,121
G_trpR,305871,306459,294
N_mfd_2~~~mfd_1~~~mfd,306459,306621,81
G_mfd_2~~~mfd_1~~~mfd,306621,313605,3492
N_inaA~~~inaA_2~~~inaA_1,313605,318035,2215
G_inaA~~~inaA_2~~~inaA_1,318035,319331,648
N_mppA_1~~~mppA_2~~~mppA,319331,321177,923
G_mppA_1~~~mppA_2~~~mppA,321177,324399,1611
N_ibaG,324399,324693,147
G_ibaG,324693,325227,267
N_hda,325227,325329,51
G_hda,325329,326817,744
N_gph~~~gph_1~~~gph_2,326817,328739,961
G_gph~~~gph_1~~~gph_2,328739,330251,756
N_aes_1~~~aes~~~aes_2,330251,339019,4384
G_aes_1~~~aes~~~aes_2,339019,340933,957
N_gsk~~~gsk_2~~~gsk_1,340933,343189,1128
G_gsk~~~gsk_2~~~gsk_1,343189,345793,1302
N_ybaL~~~ybaL_1~~~ybaL_2~~~ybaL_3,345793,346273,240
G_ybaL~~~ybaL_1~~~ybaL_2~~~ybaL_3,346273,349621,1674
N_mepM_1~~~mepM~~~mepM_2,349621,350731,555
G_mepM_1~~~mepM~~~mepM_2,350731,353383,1326
N_znuA,353383,357351,1984
G_znuA,357351,359325,987
N_cytR_1~~~cytR_3~~~cytR_2~~~cytR,359325,359639,157
G_cytR_1~~~cytR_3~~~cytR_2~~~cytR,359639,361685,1023
N_cysQ,361685,368317,3316
G_cysQ,368317,369793,738
N_fadL_1~~~fadL~~~fadL_2,369793,400749,15478
G_fadL_1~~~fadL~~~fadL_2,400749,403425,1338
N_ampE~~~ampE_1~~~ampE_2,403425,415293,5934
G_ampE~~~ampE_1~~~ampE_2,415293,416997,852
N_zraR_2~~~zraR~~~zraR_1~~~norR_1~~~rssB_2,416997,418363,683
G_zraR_2~~~zraR~~~zraR_1~~~norR_1~~~rssB_2,418363,421267,1452
N_group_34781,421267,421273,3
G_group_34781,421273,422749,738
N_sprT~~~sprT_1~~~sprT_2,422749,422989,120
G_sprT~~~sprT_1~~~sprT_2,422989,424153,582
N_treC~~~treC_2~~~treC_1,424153,427333,1590
G_treC~~~treC_2~~~treC_1,427333,431413,2040
N_yaaA~~~yaaA_1~~~yaaA_2,431413,431955,271
G_yaaA~~~yaaA_1~~~yaaA_2,431955,433503,774
N_ydgA_1~~~ydgA_2~~~ydgA_3,433503,433707,102
G_ydgA_1~~~ydgA_2~~~ydgA_3,433707,436719,1506
G_lptG_1~~~lptG_2~~~lptG,436719,438987,1134
N_ybaY,438987,441259,1136
G_ybaY,441259,442399,570
G_nikB_1~~~nikB_2~~~nikB,442399,444283,942
N_group_34749,444283,444395,56
G_group_34749,444395,445565,585
N_group_34745,445565,446405,420
G_group_34745,446405,446951,273
N_hyfA_2~~~hyfA_3,446951,447203,126
G_hyfA_2~~~hyfA_3,447203,448421,609
G_ndhK~~~ndhK_1,448421,450191,885
N_rplY,450191,450469,139
G_rplY,450469,451087,309
N_yidH_2~~~yidH,451087,452719,816
G_yidH_2~~~yidH,452719,453409,345
N_asnA~~~asnA_2~~~asnA_1,453409,528651,37621
G_asnA~~~asnA_2~~~asnA_1,528651,530631,990
N_mreC_2~~~mreC_1~~~mreC,530631,530765,67
G_mreC_2~~~mreC_1~~~mreC,530765,532985,1110
N_mreD~~~yhdE~~~yhdE_2,532985,533003,9
G_mreD~~~yhdE~~~yhdE_2,533003,534185,591
N_resA~~~dsbE,534185,534271,43
G_resA~~~dsbE,534271,535381,555
N_ybaB,535381,535489,54
G_ybaB,535489,536143,327
N_wecH~~~wecH_2~~~wecH_1,536143,548695,6276
G_wecH~~~wecH_2~~~wecH_1,548695,550687,996
N_glyS_1~~~glyS_2~~~glyS,550687,550709,11
G_glyS_1~~~glyS_2~~~glyS,550709,554843,2067
N_feoC,554843,554865,11
G_feoC,554865,555333,234
N_btuC_2~~~btuC~~~btuC_1,555333,555719,193
G_btuC_2~~~btuC~~~btuC_1,555719,557675,978
N_valS_1~~~valS_2~~~valS,557675,557865,95
G_valS_1~~~valS_2~~~valS,557865,563571,2853
N_holC,563571,564483,456
G_holC,564483,565473,495
N_ychF_2~~~ychF_1~~~ychF,565473,565709,118
G_ychF_2~~~ychF_1~~~ychF,565709,567887,1089
N_group_34703,567887,574997,3555
G_group_34703,574997,578891,1947
N_group_34702,578891,579309,209
G_group_34702,579309,580029,360
N_pdeK_2~~~pdeK~~~pdeK_1,580029,580273,122
G_pdeK_2~~~pdeK~~~pdeK_1,580273,584371,2049
N_nhaR_2~~~nhaR_1~~~nhaR~~~hdfR_3,584371,586055,842
G_nhaR_2~~~nhaR_1~~~nhaR~~~hdfR_3,586055,587849,897
N_ybdL_1~~~ybdL~~~ybdL_2,587849,591125,1638
G_ybdL_1~~~ybdL~~~ybdL_2,591125,593441,1158
N_group_34447,593441,594123,341
G_group_34447,594123,597381,1629
N_rlmA~~~rlmA_2~~~rlmA_1~~~COQ5_2,597381,597715,167
G_rlmA~~~rlmA_2~~~rlmA_1~~~COQ5_2,597715,599329,807
N_group_34327,599329,600851,761
G_group_34327,600851,601421,285
G_artP_1~~~artP~~~artI_1~~~artI~~~btuD_5~~~artP_2,601421,603407,993
N_rlmN_1~~~rlmN_2~~~rlmN,603407,603709,151
G_rlmN_1~~~rlmN_2~~~rlmN,603709,606013,1152
N_yfhM~~~yfhM_1~~~yfhM_2~~~yfhM_3,606013,611269,2628
G_yfhM~~~yfhM_1~~~yfhM_2~~~yfhM_3,611269,621187,4959
N_moaA~~~moaA_2,621187,624227,1520
G_moaA~~~moaA_2,624227,626201,987
N_lolE~~~lolE_2~~~lolE_1,626201,626215,7
G_lolE~~~lolE_2~~~lolE_1,626215,628687,1236
N_group_34158,628687,640897,6105
G_group_34158,640897,642295,699
N_group_34153,642295,642429,67
G_group_34153,642429,644907,1239
N_purL_3~~~purL~~~purL_2~~~purL_1,644907,650179,2636
G_purL_3~~~purL~~~purL_2~~~purL_1,650179,658261,4041
N_qseF_1~~~qseF_2~~~qseF,658261,658807,273
G_qseF_1~~~qseF_2~~~qseF,658807,661471,1332
N_qseG,661471,661851,190
G_qseG,661851,663273,711
N_anmK~~~anmK_1~~~anmK_2,663273,664851,789
G_anmK~~~anmK_1~~~anmK_2,664851,667167,1158
N_rsmE~~~rsmE_2~~~rsmE_1,667167,667329,81
G_rsmE~~~rsmE_2~~~rsmE_1,667329,668787,729
N_group_34125,668787,669007,110
G_group_34125,669007,670273,633
N_sodB~~~sodB_2~~~sodB_1,670273,670531,129
G_sodB~~~sodB_2~~~sodB_1,670531,671689,579
N_macA~~~macA_1~~~macA_2~~~macA_3,671689,673935,1123
G_macA~~~macA_1~~~macA_2~~~macA_3,673935,676161,1113
N_kdsB~~~kdsB_1~~~kdsB_2,676161,676267,53
G_kdsB~~~kdsB_1~~~kdsB_2,676267,677755,744
N_pabB~~~pabB_2~~~pabB_1,677755,678553,399
G_pabB~~~pabB_2~~~pabB_1,678553,681271,1359
N_ydhR,681271,685017,1873
G_ydhR,685017,686091,537
N_metE_3~~~metE_2~~~metE_1~~~metE,686091,688249,1079
G_metE_3~~~metE_2~~~metE_1~~~metE,688249,693283,2517
N_ygiD~~~ygiD_2~~~ygiD_1,693283,697677,2197
G_ygiD~~~ygiD_2~~~ygiD_1,697677,699303,813
N_zupT_1~~~zupT~~~zupT_2,699303,701259,978
G_zupT_1~~~zupT~~~zupT_2,701259,703113,927
N_dedD~~~dedD_1~~~dedD_2,703113,703255,71
G_dedD~~~dedD_1~~~dedD_2,703255,704575,660
N_deoD_1~~~deoD_2~~~deoD,704575,704739,82
G_deoD_1~~~deoD_2~~~deoD,704739,706173,717
N_mobB~~~mobB_1~~~mobB_2,706173,713517,3672
G_mobB~~~mobB_1~~~mobB_2,713517,714567,525
N_trmH_1~~~trmH,714567,714649,41
G_trmH_1~~~trmH,714649,716023,687
G_tusC,716023,716737,357
G_pspC~~~pspC_2~~~pspC_1,716737,717487,375
N_yhjD~~~yhjD_1~~~yhjD_2,717487,717587,50
G_yhjD~~~yhjD_1~~~yhjD_2,717587,719609,1011
G_entA_2~~~entA_1~~~entA,719609,721097,744
N_nagD_1~~~nagD~~~nagD_2,721097,721195,49
G_nagD_1~~~nagD~~~nagD_2,721195,722695,750
N_nagC_2~~~nagC_1~~~nagC,722695,722713,9
G_nagC_2~~~nagC_1~~~nagC,722713,725149,1218
N_loiP~~~bepA_2~~~loiP_2,725149,759671,17261
G_loiP~~~bepA_2~~~loiP_2,759671,761183,756
N_dapD_2~~~dapD_1~~~dapD,761183,761247,32
G_dapD_2~~~dapD_1~~~dapD,761247,762891,822
N_nadE_2~~~nadE~~~nadE_1,762891,784161,10635
G_nadE_2~~~nadE~~~nadE_1,784161,785811,825
G_cysT,785811,787473,831
N_eptC_1~~~eptC~~~eptC_2,787473,787861,194
G_eptC_1~~~eptC~~~eptC_2,787861,791419,1779
N_group_33946,791419,791463,22
G_group_33946,791463,793245,891
N_yfcG~~~yfcG_2~~~yfcG_1,793245,797323,2039
G_yfcG~~~yfcG_2~~~yfcG_1,797323,798613,645
N_wecF~~~wecF_2~~~wecF_1,798613,798617,2
G_wecF~~~wecF_2~~~wecF_1,798617,800771,1077
N_proY_2~~~proY~~~proY_1~~~proY_3,800771,801043,136
G_proY_2~~~proY~~~proY_1~~~proY_3,801043,803785,1371
N_glpX~~~glpX_1~~~glpX_2,803785,804247,231
G_glpX~~~glpX_1~~~glpX_2,804247,806521,1137
N_qorA~~~qorA_1~~~qorA_2,806521,824269,8874
G_qorA~~~qorA_1~~~qorA_2,824269,826231,981
N_dusA~~~dusA_1~~~dusA_2,826231,831505,2637
G_dusA~~~dusA_1~~~dusA_2,831505,833575,1035
N_lpoB,833575,833665,45
G_lpoB,833665,834943,639
N_yhdY~~~yhdY_1~~~yhdY_2,834943,834965,11
G_yhdY~~~yhdY_1~~~yhdY_2,834965,837845,1440
N_murF_1~~~murF_2~~~murF,837845,837899,27
G_murF_1~~~murF_2~~~murF,837899,840611,1356
N_envZ~~~envZ_2~~~envZ_1,840611,859705,9547
G_envZ~~~envZ_2~~~envZ_1,859705,862405,1350
N_norV_1~~~norV~~~norV_2,862405,865803,1699
G_norV_1~~~norV~~~norV_2,865803,868677,1437
N_norW~~~norW_2~~~norW_1,868677,872075,1699
G_norW~~~norW_2~~~norW_1,872075,874337,1131
N_deoC~~~deoC_1~~~deoC_2,874337,880685,3174
G_deoC~~~deoC_1~~~deoC_2,880685,882239,777
N_aceF_2~~~aceF_1~~~aceF,882239,882269,15
G_aceF_2~~~aceF_1~~~aceF,882269,886109,1920
N_mnmC_2~~~mnmC~~~mnmC_1,886109,891895,2893
G_mnmC_2~~~mnmC~~~mnmC_1,891895,895903,2004
N_tsaB~~~tsaB_2~~~tsaB_1,895903,896021,59
G_tsaB~~~tsaB_2~~~tsaB_1,896021,897479,729
N_prlC~~~prlC_1~~~prlC_2,897479,927601,15061
G_prlC~~~prlC_1~~~prlC_2,927601,931681,2040
N_der_1~~~der_2~~~der_3~~~der_4,931681,931919,119
G_der_1~~~der_2~~~der_3~~~der_4,931919,934859,1470
N_aroG_3~~~aroG_2~~~aroG_1~~~aroG,934859,938417,1779
G_aroG_3~~~aroG_2~~~aroG_1~~~aroG,938417,940517,1050
N_pspE~~~pspE_1~~~pspE_2,940517,940735,109
G_pspE~~~pspE_1~~~pspE_2,940735,941359,312
N_dnaT~~~dnaT_3~~~dnaT_2~~~dnaC,941359,941365,3
G_dnaT~~~dnaT_3~~~dnaT_2~~~dnaC,941365,942835,735
N_thrA_1~~~thrA_3~~~thrA_2~~~thrA,942835,943887,526
G_thrA_1~~~thrA_3~~~thrA_2~~~thrA,943887,948807,2460
N_cysM~~~trpB_2~~~trpB_1,948807,949079,136
G_cysM~~~trpB_2~~~trpB_1,949079,950897,909
N_wecC~~~wecC_2~~~wecC_1~~~wecC_3,950897,951011,57
G_wecC~~~wecC_2~~~wecC_1~~~wecC_3,951011,953531,1260
N_purK~~~purK_2~~~purK_1,953531,953769,119
G_purK~~~purK_2~~~purK_1,953769,955899,1065
N_livK~~~livK_1~~~livK_2,955899,957945,1023
G_livK~~~livK_1~~~livK_2,957945,960159,1107
N_grpE_1~~~grpE_2~~~grpE,960159,966763,3302
G_grpE_1~~~grpE_2~~~grpE,966763,967975,606
N_nadD~~~nadD_2~~~nadD_1,967975,967979,2
G_nadD~~~nadD_2~~~nadD_1,967979,969257,639
G_acpS~~~acpS_1~~~acpS_2,969257,970013,378
N_glpR~~~ulaR_1~~~glpR_2,970013,970047,17
G_glpR~~~ulaR_1~~~glpR_2,970047,971559,756
N_proQ_2~~~proQ~~~proQ_1~~~proQ_3,971559,971755,98
G_proQ_2~~~proQ~~~proQ_1~~~proQ_3,971755,973147,696
N_yebS~~~yebS_2~~~yebS_1,973147,984243,5548
G_yebS~~~yebS_2~~~yebS_1,984243,986805,1281
G_nikD~~~aroC_2,986805,988971,1083
G_nikE_1~~~nikE~~~nikE_2,988971,990579,804
N_rsxD~~~rsxD_1~~~rsxD_2,990579,990581,1
G_rsxD~~~rsxD_1~~~rsxD_2,990581,992693,1056
N_mdoB~~~mdoB_1~~~mdoB_2,992693,993399,353
G_mdoB~~~mdoB_1~~~mdoB_2,993399,997977,2289
N_clcA_2~~~clcA_1~~~clcA,997977,1001311,1667
G_clcA_2~~~clcA_1~~~clcA,1001311,1004149,1419
N_purD_2~~~purD~~~purD_1,1004149,1004175,13
G_purD_2~~~purD~~~purD_1,1004175,1006749,1287
N_occR,1006749,1009535,1393
G_occR,1009535,1011401,933
N_mlaA,1011401,1041943,15271
G_mlaA,1041943,1043587,822
N_ispH_1~~~ispH_2~~~ispH,1043587,1043591,2
G_ispH_1~~~ispH_2~~~ispH,1043591,1045487,948
N_selB~~~selB_2~~~selB_1,1045487,1045685,99
G_selB~~~selB_2~~~selB_1,1045685,1049369,1842
N_rlpA_1~~~rlpA~~~rlpA_2~~~rlpA_3,1049369,1049537,84
G_rlpA_1~~~rlpA~~~rlpA_2~~~rlpA_3,1049537,1051709,1086
N_nagZ_2,1051709,1055689,1990
G_nagZ_2,1055689,1060279,2295
N_group_33493,1060279,1064059,1890
G_group_33493,1064059,1066189,1065
N_group_33492,1066189,1066365,88
G_group_33492,1066365,1067139,387
N_group_33489,1067139,1071177,2019
G_group_33489,1071177,1073577,1200
N_tatA~~~tatA_1,1073577,1073737,80
G_tatA~~~tatA_1,1073737,1074271,267
N_cyaY,1074271,1087187,6458
G_cyaY,1087187,1088003,408
N_gltJ_1~~~gltJ_2,1088003,1088955,476
G_gltJ_1~~~gltJ_2,1088955,1091349,1197
N_mioC,1091349,1091531,91
G_mioC,1091531,1092425,447
N_mntH_2~~~mntH~~~mntH_1,1092425,1098383,2979
G_mntH_2~~~mntH~~~mntH_1,1098383,1100855,1236
N_rnr_1~~~rnr_2~~~rnr_3~~~rnr,1100855,1100935,40
G_rnr_1~~~rnr_2~~~rnr_3~~~rnr,1100935,1105837,2451
N_purA~~~PURA,1105837,1106047,105
G_purA~~~PURA,1106047,1108639,1296
N_yajC~~~yajC_1~~~yajC_2,1108639,1108687,24
G_yajC~~~yajC_1~~~yajC_2,1108687,1109347,330
N_yajI~~~yajI_1~~~yajI_2,1109347,1118367,4510
G_yajI~~~yajI_1~~~yajI_2,1118367,1119441,537
N_tusA,1119441,1122795,1677
G_tusA,1122795,1123281,243
N_narL_1~~~narL_2,1123281,1148435,12577
G_narL_1~~~narL_2,1148435,1149725,645
N_asnB_2~~~asnB_1~~~asnB,1149725,1150609,442
G_asnB_2~~~asnB_1~~~asnB,1150609,1153933,1662
G_ygeA~~~ygeA_2~~~nanT_2~~~ygeA_1,1153933,1156765,1416
N_argE_1~~~argE_2,1156765,1171999,7617
G_argE_1~~~argE_2,1171999,1174297,1149
N_ttdT_1~~~ttdT_2,1174297,1174401,52
G_ttdT_1~~~ttdT_2,1174401,1177323,1461
N_topA_2~~~topA_3~~~topA_4~~~topA_1~~~topA_5,1177323,1178659,668
G_topA_2~~~topA_3~~~topA_4~~~topA_1~~~topA_5,1178659,1183849,2595
G_yfcA_2~~~yfcA~~~yfcA_1,1183849,1185463,807
N_carB~~~carB_1~~~carB_2~~~carB_3,1185463,1185501,19
G_carB~~~carB_1~~~carB_2~~~carB_3,1185501,1191939,3219
N_cmoB,1191939,1192919,490
G_cmoB,1192919,1194857,969
N_mdoC~~~mdoC_1~~~mdoC_2,1194857,1204647,4895
G_mdoC~~~mdoC_1~~~mdoC_2,1204647,1206957,1155
N_group_32936,1206957,1210031,1537
G_group_32936,1210031,1210847,408
N_ribF,1210847,1226743,7948
G_ribF,1226743,1228621,939
N_ilvA_2~~~ilvA~~~dsdA_2~~~ilvA_1,1228621,1228627,3
G_ilvA_2~~~ilvA~~~dsdA_2~~~ilvA_1,1228627,1231717,1545
N_ilvE~~~ilvE_1~~~ilvE_2,1231717,1231759,21
G_ilvE~~~ilvE_1~~~ilvE_2,1231759,1233613,927
N_group_32893,1233613,1233809,98
G_group_32893,1233809,1234349,270
N_patZ~~~patZ_1~~~patZ_2~~~patZ_3,1234349,1234415,33
G_patZ~~~patZ_1~~~patZ_2~~~patZ_3,1234415,1239731,2658
N_acrA~~~acrA_2~~~acrA_1,1239731,1250627,5448
G_acrA~~~acrA_2~~~acrA_1,1250627,1253009,1191
N_birA~~~birA_1~~~birA_2,1253009,1265025,6008
G_birA~~~birA_1~~~birA_2,1265025,1266951,963
N_coaA_2~~~coaA_1~~~coaA_3,1266951,1307719,20384
G_coaA_2~~~coaA_1~~~coaA_3,1307719,1309567,924
N_yecD~~~yecD_2~~~yecD_1,1309567,1317531,3982
G_yecD~~~yecD_2~~~yecD_1,1317531,1318725,597
G_murG_2~~~murG_1~~~murG,1318725,1320855,1065
N_hdfR_2~~~hdfR_1~~~hdfR_4~~~gltC_3~~~gltR_1,1320855,1322303,724
G_hdfR_2~~~hdfR_1~~~hdfR_4~~~gltC_3~~~gltR_1,1322303,1323977,837
N_manA~~~manA_2~~~manA_1~~~manA_3,1323977,1330755,3389
G_manA~~~manA_2~~~manA_1~~~manA_3,1330755,1333101,1173
G_ispF_2~~~ispF_1~~~ispF,1333101,1334055,477
N_rfaF~~~hldD~~~rfaF_2~~~rfaF_1,1334055,1343351,4648
G_rfaF~~~hldD~~~rfaF_2~~~rfaF_1,1343351,1345439,1044
N_kbl_2~~~kbl~~~kbl_1,1345439,1354789,4675
G_kbl_2~~~kbl~~~kbl_1,1354789,1357177,1194
N_ispG~~~ispG_1~~~ispG_2,1357177,1357233,28
G_ispG~~~ispG_1~~~ispG_2,1357233,1359465,1116
N_group_32851,1359465,1359689,112
G_group_32851,1359689,1360925,618
N_lysC~~~lysC_2~~~lysC_1,1360925,1381023,10049
G_lysC~~~lysC_2~~~lysC_1,1381023,1383717,1347
N_lysO~~~lysO_1~~~lysO_2,1383717,1392875,4579
G_lysO~~~lysO_1~~~lysO_2,1392875,1394669,897
N_topB_2~~~topB~~~topB_1,1394669,1394799,65
G_topB_2~~~topB~~~topB_1,1394799,1398717,1959
N_mlc_2~~~mlc_1~~~nanK_1~~~nanK_2,1398717,1419927,10605
G_mlc_2~~~mlc_1~~~nanK_1~~~nanK_2,1419927,1422309,1191
N_hmp_1~~~hmp~~~hmp_2,1422309,1426095,1893
G_hmp_1~~~hmp~~~hmp_2,1426095,1428471,1188
N_glyA_1~~~glyA_2~~~glyA,1428471,1431605,1567
G_glyA_1~~~glyA_2~~~glyA,1431605,1434107,1251
N_tamB_2~~~tamB_5~~~tamB_1~~~tamB_4~~~tamB_3~~~tamB,1434107,1444227,5060
G_tamB_2~~~tamB_5~~~tamB_1~~~tamB_4~~~tamB_3~~~tamB,1444227,1451781,3777
N_msrA~~~msrA_1,1451781,1465983,7101
G_msrA~~~msrA_1,1465983,1467255,636
N_glnQ_2~~~glnQ_3~~~glnQ_1,1467255,1467879,312
G_glnQ_2~~~glnQ_3~~~glnQ_1,1467879,1469319,720
N_group_32824,1469319,1469837,259
G_group_32824,1469837,1471187,675
N_trpB_2~~~trpB~~~trpB_1,1471187,1471459,136
G_trpB_2~~~trpB~~~trpB_1,1471459,1473841,1191
N_serS_1~~~serS~~~serS_2~~~serS_3,1473841,1474051,105
G_serS_1~~~serS~~~serS_2~~~serS_3,1474051,1476631,1290
N_miaB~~~miaB_1,1476631,1483213,3291
G_miaB~~~miaB_1,1483213,1486063,1425
N_sgrR_1~~~sgrR_2~~~sgrR_3,1486063,1501619,7778
G_sgrR_1~~~sgrR_2~~~sgrR_3,1501619,1505015,1698
N_group_32775,1505015,1505155,70
G_group_32775,1505155,1506547,696
N_ybiS,1506547,1517913,5683
G_ybiS,1517913,1519749,918
